attr	element	anim	treatValueAs
id	color-profile	FALSE	ignore
id	cursor	FALSE	ignore
id	defs	FALSE	ignore
id	desc	FALSE	ignore
id	ellipse	FALSE	ignore
id	feBlend	FALSE	ignore
id	feColorMatrix	FALSE	ignore
id	feComponentTransfer	FALSE	ignore
id	feComposite	FALSE	ignore
id	feConvolveMatrix	FALSE	ignore
id	feDiffuseLighting	FALSE	ignore
id	feDisplacementMap	FALSE	ignore
id	feDistantLight	FALSE	ignore
id	feFlood	FALSE	ignore
id	feFuncA	FALSE	ignore
id	feFuncB	FALSE	ignore
id	feFuncG	FALSE	ignore
id	feFuncR	FALSE	ignore
id	feGaussianBlur	FALSE	ignore
id	feImage	FALSE	ignore
id	feMerge	FALSE	ignore
id	feMergeNode	FALSE	ignore
id	feMorphology	FALSE	ignore
id	feOffset	FALSE	ignore
id	fePointLight	FALSE	ignore
id	feSpecularLighting	FALSE	ignore
id	feSpotLight	FALSE	ignore
id	feTile	FALSE	ignore
id	feTurbulence	FALSE	ignore
id	filter	FALSE	ignore
id	font	FALSE	ignore
id	font-face	FALSE	ignore
id	font-face-format	FALSE	ignore
id	font-face-name	FALSE	ignore
id	font-face-src	FALSE	ignore
id	font-face-uri	FALSE	ignore
id	foreignObject	FALSE	ignore
id	g	FALSE	ignore
id	glyph	FALSE	ignore
id	glyphRef	FALSE	ignore
id	hkern	FALSE	ignore
id	image	FALSE	ignore
id	line	FALSE	ignore
id	linearGradient	FALSE	ignore
id	marker	FALSE	ignore
id	mask	FALSE	ignore
id	metadata	FALSE	ignore
id	missing-glyph	FALSE	ignore
id	mpath	FALSE	ignore
id	path	FALSE	ignore
id	pattern	FALSE	ignore
id	polygon	FALSE	ignore
id	polyline	FALSE	ignore
id	radialGradient	FALSE	ignore
id	rect	FALSE	ignore
id	script	FALSE	ignore
id	set	FALSE	ignore
id	stop	FALSE	ignore
id	style	FALSE	ignore
id	svg	FALSE	ignore
id	switch	FALSE	ignore
id	symbol	FALSE	ignore
id	text	FALSE	ignore
id	textPath	FALSE	ignore
id	title	FALSE	ignore
id	tref	FALSE	ignore
id	tspan	FALSE	ignore
id	use	FALSE	ignore
id	view	FALSE	ignore
id	vkern	FALSE	ignore
requiredExtensions	a	FALSE	wsp-list
requiredExtensions	altGlyph	FALSE	wsp-list
requiredExtensions	animate	FALSE	wsp-list
requiredExtensions	animateColor	FALSE	wsp-list
