attr	element	anim	link	page	loc	val	lnk	treatValueAs
v-alphabetic	font-face	FALSE	fonts.html#FontFaceElementVertAlphabeticAttribute	fonts.html	FontFaceElementVertAlphabeticAttribute	<number>	types.html#DataTypeNumber	ignore
v-hanging	font-face	FALSE	fonts.html#FontFaceElementVertHangingAttribute	fonts.html	FontFaceElementVertHangingAttribute	<number>	types.html#DataTypeNumber	ignore
v-ideographic	font-face	FALSE	fonts.html#FontFaceElementVertIdeographicAttribute	fonts.html	FontFaceElementVertIdeographicAttribute	<number>	types.html#DataTypeNumber	ignore
v-mathematical	font-face	FALSE	fonts.html#FontFaceElementVertMathematicalAttribute	fonts.html	FontFaceElementVertMathematicalAttribute	<number>	types.html#DataTypeNumber	ignore
vert-adv-y	font	FALSE	fonts.html#FontElementVertAdvYAttribute	fonts.html	FontElementVertAdvYAttribute	<number>	NA	ignore
vert-adv-y	glyph	FALSE	fonts.html#GlyphElementVertAdvYAttribute	fonts.html	GlyphElementVertAdvYAttribute	<number>	NA	ignore
vert-adv-y	missing-glyph	FALSE	fonts.html#GlyphElementVertAdvYAttribute	fonts.html	GlyphElementVertAdvYAttribute	<number>	NA	ignore
vert-origin-x	font	FALSE	fonts.html#FontElementVertOriginXAttribute	fonts.html	FontElementVertOriginXAttribute	<number>	NA	ignore
vert-origin-x	glyph	FALSE	fonts.html#GlyphElementVertOriginXAttribute	fonts.html	GlyphElementVertOriginXAttribute	<number>	NA	ignore
vert-origin-x	missing-glyph	FALSE	fonts.html#GlyphElementVertOriginXAttribute	fonts.html	GlyphElementVertOriginXAttribute	<number>	NA	ignore
vert-origin-y	font	FALSE	fonts.html#FontElementVertOriginYAttribute	fonts.html	FontElementVertOriginYAttribute	<number>	NA	ignore
vert-origin-y	glyph	FALSE	fonts.html#GlyphElementVertOriginYAttribute	fonts.html	GlyphElementVertOriginYAttribute	<number>	NA	ignore
vert-origin-y	missing-glyph	FALSE	fonts.html#GlyphElementVertOriginYAttribute	fonts.html	GlyphElementVertOriginYAttribute	<number>	NA	ignore
widths	font-face	FALSE	fonts.html#FontFaceElementWidthsAttribute	fonts.html	FontFaceElementWidthsAttribute	<string>	NA	cmm-list {4}
x-height	font-face	FALSE	fonts.html#FontFaceElementXHeightAttribute	fonts.html	FontFaceElementXHeightAttribute	<number>	types.html#DataTypeNumber	ignore
xlink:href	font-face-uri	FALSE	fonts.html#FontFaceUriElementHrefAttribute	fonts.html	FontFaceUriElementHrefAttribute	<IRI>	types.html#DataTypeIRI	ignore
accumulate	animate	FALSE	animate.html#AccumulateAttribute	animate.html	AccumulateAttribute	"none | sum"	NA	ignore
accumulate	animateColor	FALSE	animate.html#AccumulateAttribute	animate.html	AccumulateAttribute	"none | sum"	NA	ignore
accumulate	animateMotion	FALSE	animate.html#AccumulateAttribute	animate.html	AccumulateAttribute	"none | sum"	NA	ignore
accumulate	animateTransform	FALSE	animate.html#AccumulateAttribute	animate.html	AccumulateAttribute	"none | sum"	NA	ignore
additive	animate	FALSE	animate.html#AdditiveAttribute	animate.html	AdditiveAttribute	"replace | sum"	NA	ignore
additive	animateColor	FALSE	animate.html#AdditiveAttribute	animate.html	AdditiveAttribute	"replace | sum"	NA	ignore
additive	animateMotion	FALSE	animate.html#AdditiveAttribute	animate.html	AdditiveAttribute	"replace | sum"	NA	ignore
