attr	variable	value
visibility	Applies to	text
visibility	Applies to	tspan
visibility	Applies to	tref
visibility	Applies to	altGlyph
visibility	Applies to	textPath
visibility	Applies to	a
marker properties	Applies to	path
marker properties	Applies to	line
marker properties	Applies to	polyline
marker properties	Applies to	polygon
marker	Applies to	path
marker	Applies to	line
marker	Applies to	polyline
marker	Applies to	polygon
color-interpolation	Applies to	a
color-interpolation	Applies to	defs
color-interpolation	Applies to	glyph
color-interpolation	Applies to	g
color-interpolation	Applies to	marker
color-interpolation	Applies to	mask
color-interpolation	Applies to	missing-glyph
color-interpolation	Applies to	pattern
color-interpolation	Applies to	svg
color-interpolation	Applies to	switch
color-interpolation	Applies to	symbol
color-interpolation	Applies to	circle
color-interpolation	Applies to	ellipse
color-interpolation	Applies to	image
color-interpolation	Applies to	line
color-interpolation	Applies to	path
color-interpolation	Applies to	polygon
color-interpolation	Applies to	polyline
color-interpolation	Applies to	rect
color-interpolation	Applies to	text
color-interpolation	Applies to	use
color-interpolation	Applies to	animate
color-interpolation	Applies to	animateColor
color-interpolation-filters	Applies to	feBlend
color-interpolation-filters	Applies to	feColorMatrix
color-interpolation-filters	Applies to	feComponentTransfer
color-interpolation-filters	Applies to	feComposite
color-interpolation-filters	Applies to	feConvolveMatrix
color-interpolation-filters	Applies to	feDiffuseLighting
color-interpolation-filters	Applies to	feDisplacementMap
color-interpolation-filters	Applies to	feFlood
color-interpolation-filters	Applies to	feGaussianBlur
color-interpolation-filters	Applies to	feImage
color-interpolation-filters	Applies to	feMerge
color-interpolation-filters	Applies to	feMorphology
color-interpolation-filters	Applies to	feOffset
color-interpolation-filters	Applies to	feSpecularLighting
color-interpolation-filters	Applies to	feTile
color-interpolation-filters	Applies to	feTurbulence
color-rendering	Applies to	a
color-rendering	Applies to	defs
color-rendering	Applies to	glyph
color-rendering	Applies to	g
color-rendering	Applies to	marker
color-rendering	Applies to	mask
color-rendering	Applies to	missing-glyph
color-rendering	Applies to	pattern
color-rendering	Applies to	svg
color-rendering	Applies to	switch
color-rendering	Applies to	symbol
color-rendering	Applies to	circle
color-rendering	Applies to	ellipse
color-rendering	Applies to	image
color-rendering	Applies to	line
color-rendering	Applies to	path
color-rendering	Applies to	polygon
color-rendering	Applies to	polyline
color-rendering	Applies to	rect
color-rendering	Applies to	text
color-rendering	Applies to	use
color-rendering	Applies to	animate
color-rendering	Applies to	animateColor
shape-rendering	Applies to	path
shape-rendering	Applies to	rect
shape-rendering	Applies to	circle
shape-rendering	Applies to	ellipse
shape-rendering	Applies to	line
shape-rendering	Applies to	polyline
shape-rendering	Applies to	polygon
text-rendering	Applies to	text
image-rendering	Applies to	image
color	Applies to	path
color	Applies to	rect
color	Applies to	circle
color	Applies to	ellipse
color	Applies to	line
color	Applies to	polyline
color	Applies to	polygon
color	Applies to	stop
color	Applies to	feFlood
color	Applies to	feDiffuseLighting
color	Applies to	feSpecularLighting
color	Applies to	text content element
color-profile	Applies to	image elements
pointer-events	Applies to	circle
pointer-events	Applies to	ellipse
pointer-events	Applies to	image
pointer-events	Applies to	line
pointer-events	Applies to	path
pointer-events	Applies to	polygon
pointer-events	Applies to	polyline
pointer-events	Applies to	rect
pointer-events	Applies to	text
pointer-events	Applies to	use
cursor	Applies to	a
cursor	Applies to	defs
cursor	Applies to	glyph
cursor	Applies to	g
cursor	Applies to	marker
cursor	Applies to	mask
cursor	Applies to	missing-glyph
cursor	Applies to	pattern
cursor	Applies to	svg
cursor	Applies to	switch
cursor	Applies to	symbol
cursor	Applies to	circle
cursor	Applies to	ellipse
cursor	Applies to	image
cursor	Applies to	line
cursor	Applies to	path
cursor	Applies to	polygon
cursor	Applies to	polyline
cursor	Applies to	rect
cursor	Applies to	text
cursor	Applies to	use
filter	Applies to	circle
filter	Applies to	ellipse
filter	Applies to	image
filter	Applies to	line
filter	Applies to	path
filter	Applies to	polygon
filter	Applies to	polyline
filter	Applies to	rect
filter	Applies to	text
filter	Applies to	use
filter	Applies to	a
filter	Applies to	svg
filter	Applies to	g
filter	Applies to	defs
filter	Applies to	symbol
filter	Applies to	switch
filter	Applies to	glyph
filter	Applies to	missing-glyph
filter	Applies to	pattern
filter	Applies to	marker
enable-background	Applies to	a
enable-background	Applies to	defs
enable-background	Applies to	glyph
enable-background	Applies to	g
enable-background	Applies to	marker
enable-background	Applies to	mask
enable-background	Applies to	missing-glyph
enable-background	Applies to	pattern
enable-background	Applies to	svg
enable-background	Applies to	switch
enable-background	Applies to	symbol
lighting-color	Applies to	feDiffuseLighting
lighting-color	Applies to	feSpecularLighting
flood-color	Applies to	feFlood
flood-opacity	Applies to	feFlood
stop-color	Applies to	stop
stop-opacity	Applies to	stop
writing-mode	Initial	lr-tb
writing-mode	Inherited	yes
writing-mode	Percentages	N/A
writing-mode	Media	visual
writing-mode	Animatable	no
glyph-orientation-vertical	Initial	auto
glyph-orientation-vertical	Inherited	yes
glyph-orientation-vertical	Percentages	N/A
glyph-orientation-vertical	Media	visual
glyph-orientation-vertical	Animatable	no
glyph-orientation-horizontal	Initial	0deg
glyph-orientation-horizontal	Inherited	yes
glyph-orientation-horizontal	Percentages	N/A
glyph-orientation-horizontal	Media	visual
glyph-orientation-horizontal	Animatable	no
direction	Initial	ltr
direction	Inherited	yes
direction	Percentages	N/A
direction	Media	visual
direction	Animatable	no
unicode-bidi	Initial	normal
unicode-bidi	Inherited	no
unicode-bidi	Percentages	N/A
unicode-bidi	Media	visual
unicode-bidi	Animatable	no
text-anchor	Initial	start
text-anchor	Inherited	yes
text-anchor	Percentages	N/A
text-anchor	Media	visual
text-anchor	Animatable	yes
dominant-baseline	Initial	auto
dominant-baseline	Inherited	no
dominant-baseline	Percentages	N/A
dominant-baseline	Media	visual
dominant-baseline	Animatable	yes
alignment-baseline	Initial	auto
alignment-baseline	Inherited	no
alignment-baseline	Percentages	N/A
alignment-baseline	Media	visual
alignment-baseline	Animatable	yes
baseline-shift	Initial	baseline
baseline-shift	Inherited	no
baseline-shift	Percentages	refers to the "line-height" of the text element, which in the case of SVG is defined to be equal to the font-size
baseline-shift	Media	visual
baseline-shift	Animatable	yes
font-family	Initial	depends on user agent
font-family	Inherited	yes
font-family	Percentages	N/A
font-family	Media	visual
font-family	Animatable	yes
font-style	Initial	normal
font-style	Inherited	yes
font-style	Percentages	N/A
font-style	Media	visual
font-style	Animatable	yes
font-variant	Initial	normal
font-variant	Inherited	yes
font-variant	Percentages	N/A
font-variant	Media	visual
font-variant	Animatable	yes
font-weight	Initial	normal
font-weight	Inherited	yes
font-weight	Percentages	N/A
font-weight	Media	visual
font-weight	Animatable	yes
font-stretch	Initial	normal
font-stretch	Inherited	yes
font-stretch	Percentages	N/A
font-stretch	Media	visual
font-stretch	Animatable	yes
font-size	Initial	medium
font-size	Inherited	yes, the computed value is inherited
font-size	Percentages	refer to parent element's font size
font-size	Media	visual
font-size	Animatable	yes
font-size-adjust	Initial	none
font-size-adjust	Inherited	yes
font-size-adjust	Percentages	N/A
font-size-adjust	Media	visual
font-size-adjust	Animatable	yes (non-additive)
font	Initial	see individual properties
font	Inherited	yes
font	Percentages	allowed on 'font-size' and 'line-height' (Note: for the purposes of processing the font property in SVG, 'line-height' is assumed to be equal the value for property font-size)
font	Media	visual
font	Animatable	yes (non-additive)
kerning	Initial	auto
kerning	Inherited	yes
kerning	Percentages	N/A
kerning	Media	visual
kerning	Animatable	yes
letter-spacing	Initial	normal
letter-spacing	Inherited	yes
letter-spacing	Percentages	N/A
letter-spacing	Media	visual
letter-spacing	Animatable	yes
word-spacing	Initial	normal
word-spacing	Inherited	yes
word-spacing	Percentages	N/A
word-spacing	Media	visual
word-spacing	Animatable	yes
text-decoration	Initial	none
text-decoration	Inherited	no (see prose)
text-decoration	Percentages	N/A
text-decoration	Media	visual
text-decoration	Animatable	yes
overflow	Initial	see prose
overflow	Inherited	no
overflow	Percentages	N/A
overflow	Media	visual
overflow	Animatable	yes
clip	Initial	auto
clip	Inherited	no
clip	Percentages	N/A
clip	Media	visual
clip	Animatable	yes
clip-path	Initial	none
clip-path	Inherited	no
clip-path	Percentages	N/A
clip-path	Media	visual
clip-path	Animatable	yes
clip-rule	Initial	nonzero
clip-rule	Inherited	yes
clip-rule	Percentages	N/A
clip-rule	Media	visual
clip-rule	Animatable	yes
mask	Initial	none
mask	Inherited	no
mask	Percentages	N/A
mask	Media	visual
mask	Animatable	yes
opacity	Initial	1
opacity	Inherited	no
opacity	Percentages	N/A
opacity	Media	visual
opacity	Animatable	yes
fill	Initial	black
fill	Inherited	yes
fill	Percentages	N/A
fill	Media	visual
fill	Animatable	yes
fill-rule	Initial	nonzero
fill-rule	Inherited	yes
fill-rule	Percentages	N/A
fill-rule	Media	visual
fill-rule	Animatable	yes
fill-opacity	Initial	1
fill-opacity	Inherited	yes
fill-opacity	Percentages	N/A
fill-opacity	Media	visual
fill-opacity	Animatable	yes
stroke	Initial	none
stroke	Inherited	yes
stroke	Percentages	N/A
stroke	Media	visual
stroke	Animatable	yes
stroke-width	Initial	1
stroke-width	Inherited	yes
stroke-width	Percentages	Yes
stroke-width	Media	visual
stroke-width	Animatable	yes
stroke-linecap	Initial	butt
stroke-linecap	Inherited	yes
stroke-linecap	Percentages	N/A
stroke-linecap	Media	visual
stroke-linecap	Animatable	yes
stroke-linejoin	Initial	miter
stroke-linejoin	Inherited	yes
stroke-linejoin	Percentages	N/A
stroke-linejoin	Media	visual
stroke-linejoin	Animatable	yes
stroke-miterlimit	Initial	4
stroke-miterlimit	Inherited	yes
stroke-miterlimit	Percentages	N/A
stroke-miterlimit	Media	visual
stroke-miterlimit	Animatable	yes
stroke-dasharray	Initial	none
stroke-dasharray	Inherited	yes
stroke-dasharray	Percentages	yes (see below)
