element	variable	value
textPath	category	Text Content Child Element
textPath	content.model	descriptive elements:
textPath	content.model	a
textPath	content.model	altGlyph
textPath	content.model	animate
textPath	content.model	animateColor
textPath	content.model	set
textPath	content.model	tref
textPath	content.model	tspan
textPath	attr	conditional processing attributes:
textPath	attr	core attributes:
textPath	attr	graphical event attributes:
textPath	attr	presentation attributes:
textPath	attr	xlink attributes:
textPath	attr	class
textPath	attr	style
textPath	attr	externalResourcesRequired
textPath	attr	xlink:href
textPath	attr	startOffset
textPath	attr	method
textPath	attr	spacing
altGlyph	category	Text Content Element
altGlyph	category	Text Content Child Element
altGlyph	content.model	Any elements or character data.
altGlyph	attr	conditional processing attributes:
altGlyph	attr	core attributes:
altGlyph	attr	graphical event attributes:
altGlyph	attr	presentation attributes:
altGlyph	attr	xlink attributes:
altGlyph	attr	class
altGlyph	attr	style
altGlyph	attr	externalResourcesRequired
altGlyph	attr	x
altGlyph	attr	y
altGlyph	attr	dx
altGlyph	attr	dy
altGlyph	attr	glyphRef
altGlyph	attr	format
altGlyph	attr	rotate
altGlyph	attr	xlink:href
altGlyphDef	category	Uncategorized Element
altGlyphDef	content.model	glyphRef
altGlyphDef	content.model	altGlyphItem
altGlyphDef	attr	core attributes:
altGlyphItem	category	Uncategorized Element
altGlyphItem	content.model	glyphRef
altGlyphItem	attr	core attributes:
glyphRef	category	Uncategorized Element
glyphRef	content.model	Empty.
glyphRef	attr	core attributes:
glyphRef	attr	presentation attributes:
glyphRef	attr	xlink attributes:
glyphRef	attr	class
glyphRef	attr	style
glyphRef	attr	x
glyphRef	attr	y
glyphRef	attr	dx
glyphRef	attr	dy
glyphRef	attr	glyphRef
glyphRef	attr	format
glyphRef	attr	xlink:href
animate	category	Animation Element
animate	content.model	descriptive elements:
animate	attr	conditional processing attributes:
animate	attr	core attributes:
animate	attr	animation event attributes:
animate	attr	xlink attributes:
animate	attr	animation attribute target attributes:
animate	attr	animation timing attributes:
animate	attr	animation value attributes:
animate	attr	animation addition attributes:
animate	attr	presentation attributes:
animate	attr	externalResourcesRequired
set	category	Animation Element
set	content.model	descriptive elements:
set	attr	conditional processing attributes:
set	attr	core attributes:
set	attr	animation event attributes:
set	attr	xlink attributes:
set	attr	animation attribute target attributes:
set	attr	animation timing attributes:
set	attr	externalResourcesRequired
set	attr	to
animateMotion	category	Animation Element
animateMotion	content.model	descriptive elements:
animateMotion	content.model	mpath
animateMotion	attr	conditional processing attributes:
animateMotion	attr	core attributes:
animateMotion	attr	animation event attributes:
animateMotion	attr	xlink attributes:
animateMotion	attr	animation timing attributes:
animateMotion	attr	animation value attributes:
animateMotion	attr	animation addition attributes:
animateMotion	attr	externalResourcesRequired
animateMotion	attr	path
animateMotion	attr	keyPoints
animateMotion	attr	rotate
animateMotion	attr	origin
mpath	category	Uncategorized Element
mpath	content.model	descriptive elements:
mpath	attr	core attributes:
mpath	attr	xlink attributes:
mpath	attr	externalResourcesRequired
mpath	attr	xlink:href
animateColor	category	Animation Element
animateColor	content.model	descriptive elements:
animateColor	attr	conditional processing attributes:
animateColor	attr	core attributes:
animateColor	attr	animation event attributes:
animateColor	attr	xlink attributes:
animateColor	attr	animation attribute target attributes:
animateColor	attr	animation timing attributes:
animateColor	attr	animation value attributes:
