element	variable	value
linearGradient	attr	xlink:href
radialGradient	category	Gradient Element
radialGradient	content.model	descriptive elements:
radialGradient	content.model	animate
radialGradient	content.model	animateTransform
radialGradient	content.model	set
radialGradient	content.model	stop
radialGradient	attr	core attributes:
radialGradient	attr	presentation attributes:
radialGradient	attr	xlink attributes:
radialGradient	attr	class
radialGradient	attr	style
radialGradient	attr	externalResourcesRequired
radialGradient	attr	cx
radialGradient	attr	cy
radialGradient	attr	r
radialGradient	attr	fx
radialGradient	attr	fy
radialGradient	attr	gradientUnits
radialGradient	attr	gradientTransform
radialGradient	attr	spreadMethod
radialGradient	attr	xlink:href
stop	category	Uncategorized Element
stop	content.model	animate
stop	content.model	animateColor
stop	content.model	set
stop	attr	core attributes:
stop	attr	presentation attributes:
stop	attr	class
stop	attr	style
stop	attr	offset
pattern	category	Container Element
pattern	content.model	animation elements:
pattern	content.model	descriptive elements:
pattern	content.model	shape elements:
pattern	content.model	structural elements:
pattern	content.model	gradient elements:
pattern	content.model	a
pattern	content.model	altGlyphDef
pattern	content.model	clipPath
pattern	content.model	color-profile
pattern	content.model	cursor
pattern	content.model	filter
pattern	content.model	font
pattern	content.model	font-face
pattern	content.model	foreignObject
pattern	content.model	image
pattern	content.model	marker
pattern	content.model	mask
pattern	content.model	pattern
pattern	content.model	script
pattern	content.model	style
pattern	content.model	switch
pattern	content.model	text
pattern	content.model	view
pattern	attr	conditional processing attributes:
pattern	attr	core attributes:
pattern	attr	presentation attributes:
pattern	attr	xlink attributes:
pattern	attr	class
pattern	attr	style
pattern	attr	externalResourcesRequired
pattern	attr	viewBox
pattern	attr	preserveAspectRatio
pattern	attr	x
pattern	attr	y
pattern	attr	width
pattern	attr	height
pattern	attr	patternUnits
pattern	attr	patternContentUnits
pattern	attr	patternTransform
pattern	attr	xlink:href
marker	category	Container Element
marker	content.model	animation elements:
marker	content.model	descriptive elements:
marker	content.model	shape elements:
marker	content.model	structural elements:
marker	content.model	gradient elements:
marker	content.model	a
marker	content.model	altGlyphDef
marker	content.model	clipPath
marker	content.model	color-profile
marker	content.model	cursor
marker	content.model	filter
marker	content.model	font
marker	content.model	font-face
marker	content.model	foreignObject
marker	content.model	image
marker	content.model	marker
marker	content.model	mask
marker	content.model	pattern
marker	content.model	script
marker	content.model	style
marker	content.model	switch
marker	content.model	text
marker	content.model	view
marker	attr	core attributes:
marker	attr	presentation attributes:
marker	attr	class
marker	attr	style
marker	attr	externalResourcesRequired
marker	attr	viewBox
marker	attr	preserveAspectRatio
marker	attr	refX
marker	attr	refY
marker	attr	markerUnits
marker	attr	markerWidth
marker	attr	markerHeight
marker	attr	orient
metadata	category	Descriptive Element
metadata	content.model	Any elements or character data.
metadata	attr	core attributes:
path	category	Graphics Element
path	category	Shape Element
path	content.model	animation elements:
path	content.model	descriptive elements:
path	attr	conditional processing attributes:
path	attr	core attributes:
path	attr	graphical event attributes:
path	attr	presentation attributes:
path	attr	class
path	attr	style
path	attr	externalResourcesRequired
path	attr	transform
path	attr	d
path	attr	pathLength
script	category	Uncategorized Element
script	content.model	Any elements or character data.
script	attr	core attributes:
script	attr	xlink attributes:
script	attr	externalResourcesRequired
script	attr	type
script	attr	xlink:href
style	category	Uncategorized Element
style	content.model	Any elements or character data.
style	attr	core attributes:
style	attr	type
style	attr	media
style	attr	title
