"no.","LaTeX","requirements"
"021C6","\leftrightarrows","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021C7","\leftleftarrows","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021C8","\upuparrows","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021C9","\rightrightarrows","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021CA","\downdownarrows","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021CB","\leftrightharpoons","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021CC","\rightleftharpoons","*"
"021CD","\nLeftarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021CE","\nLeftrightarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021CF","\nRightarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021D0","\Leftarrow","*"
"021D1","\Uparrow","*"
"021D2","\Rightarrow","-marvosym"
"021D3","\Downarrow","*"
"021D4","\Leftrightarrow","*"
"021D5","\Updownarrow","*"
"021D6","\Nwarrow","kmath, kpfonts, pxfonts, txfonts"
"021D7","\Nearrow","kmath, kpfonts, pxfonts, txfonts"
"021D8","\Searrow","kmath, kpfonts, pxfonts, txfonts"
"021D9","\Swarrow","kmath, kpfonts, pxfonts, txfonts"
"021DA","\Lleftarrow","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"021DB","\Rrightarrow","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"021DC","\leftsquigarrow","kmath, kpfonts, mathabx, pxfonts, txfonts"
"021DD","\rightsquigarrow","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"021DE",""," "
"021DF",""," "
"021E0","\dashleftarrow","MnSymbol, amsfonts, amssymb, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"021E1",""," "
"021E2","\dashrightarrow","MnSymbol, amsfonts, amssymb, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"021E3",""," "
"021E4","\LeftArrowBar","wrisym"
"021E5","\RightArrowBar","wrisym"
"021E6",""," "
"021E7",""," "
"021E8",""," "
"021E9",""," "
"021EA",""," "
"021EB",""," "
"021EC",""," "
"021ED",""," "
"021EE",""," "
"021EF",""," "
"021F0",""," "
"021F1",""," "
"021F2",""," "
"021F3",""," "
"021F4",""," "
"021F5","\downuparrows","mathabx"
"021F6",""," "
"021F7",""," "
"021F8","\pfun","oz"
"021F9",""," "
"021FA",""," "
"021FB","\ffun","oz"
"021FC",""," "
"021FD","\leftarrowtriangle","stmaryrd"
"021FE","\rightarrowtriangle","stmaryrd"
"021FF","\leftrightarrowtriangle","stmaryrd"
"02200","\forall","*"
"02201","\complement","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02202","\partialup","kpfonts"
"02203","\exists","*"
"02204","\nexists","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02205","\varnothing","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02206",""," "
"02207","\nabla","*"
"02208","\in","*"
"02209","\notin","*"
"0220A",""," "
"0220B","\ni","*"
"0220C","\nni","wrisym"
"0220D",""," "
"0220E",""," "
"0220F","\prod","*"
"02210","\coprod","*"
"02211","\sum","*"
"02212","-","*"
"02213","\mp","*"
"02214","\dotplus","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02215","\slash","*"
"02216","\smallsetminus","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02217","\ast","*"
"02218","\circ","*"
"02219","\bullet","*"
"0221A","\sqrt","*"
"0221B","\sqrt[3]","*"
"0221C","\sqrt[4]","*"
"0221D","\propto","*"
"0221E","\infty","*"
"0221F","\rightangle","wrisym"
"02220","\angle","*"
"02221","\measuredangle","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts, wrisym"
"02222","\sphericalangle","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts, wrisym"
"02223","\mid","*"
"02224","\nmid","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02225","\parallel","*"
"02226","\nparallel","MnSymbol, amssymb, fourier, fouriernc, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02227","\wedge","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02228","\vee","*"
"02229","\cap","*"
"0222A","\cup","*"
"0222B","\int","*"
"0222C","\iint","amsmath, esint, fourier, fouriernc, kmath, kpfonts, pxfonts, txfonts, wasysym"
"0222D","\iiint","amsmath, esint, fourier, fouriernc, kmath, kpfonts, pxfonts, txfonts, wasysym"
"0222E","\oint","*"
"0222F","\oiint","esint, fourier, fouriernc, kmath, kpfonts, pxfonts, txfonts, wasysym"
"02230","\oiiint","fourier, fouriernc, kmath, kpfonts, pxfonts, txfonts"
"02231",""," "
"02232","\varointclockwise","esint, kmath, kpfonts, pxfonts, txfonts"
"02233","\ointctrclockwise","esint, kmath, kpfonts, pxfonts, txfonts"
"02234","\therefore","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts, wrisym"
"02235","\because","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts, wrisym"
"02236",":","*"
"02237","\Proportion","wrisym"
"02238",""," "
"02239","\eqcolon","kmath, kpfonts, pxfonts, txfonts, -mathabx"
"0223A",""," "
"0223B",""," "
"0223C","\sim","*"
"0223D","\backsim","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"0223E",""," "
"0223F","\AC","wasysym"
"02240","\wr","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02241","\nsim","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts, wrisym"
"02242","\eqsim","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"02243","\simeq","*"
"02244","\nsimeq","kmath, kpfonts, pxfonts, txfonts"
"02245","\cong","*"
"02246",""," "
"02247","\ncong","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts, wrisym"
"02248","\approx","*"
"02249","\napprox","wrisym"
"0224A","\approxeq","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts"
"0224B",""," "
"0224C",""," "
"0224D","\asymp","*"
"0224E","\Bumpeq","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts, wrisym"
"0224F","\bumpeq","MnSymbol, amssymb, kmath, kpfonts, mathdesign, oz, pxfonts, txfonts, wrisym"
"02250","\doteq","*"
"02251","\Doteq","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02252","\fallingdotseq","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02253","\risingdotseq","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02254","\coloneq","mathabx, -kmath, -kpfonts, -pxfonts, -txfonts"
"02255","\eqcolon","mathabx, -kmath, -kpfonts, -pxfonts, -txfonts"
