"no.","LaTeX","requirements"
"02A89","\lnapprox","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02A8A","\gnapprox","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02A8B","\lesseqqgtr","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02A8C","\gtreqqless","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02A8D",""," "
"02A8E",""," "
"02A8F",""," "
"02A90",""," "
"02A91",""," "
"02A92",""," "
"02A93",""," "
"02A94",""," "
"02A95","\eqslantless","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02A96","\eqslantgtr","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02A97",""," "
"02A98",""," "
"02A99",""," "
"02A9A",""," "
"02A9B",""," "
"02A9C",""," "
"02A9D",""," "
"02A9E",""," "
"02A9F",""," "
"02AA0",""," "
"02AA1","\NestedLessLess","wrisym"
"02AA2","\NestedGreaterGreater","wrisym"
"02AA3",""," "
"02AA4",""," "
"02AA5",""," "
"02AA6","\leftslice","stmaryrd"
"02AA7","\rightslice","stmaryrd"
"02AA8",""," "
"02AA9",""," "
"02AAA",""," "
"02AAB",""," "
"02AAC",""," "
"02AAD",""," "
"02AAE",""," "
"02AAF","\preceq","*"
"02AB0","\succeq","*"
"02AB1",""," "
"02AB2",""," "
"02AB3","\preceqq","kmath, kpfonts, pxfonts, txfonts"
"02AB4","\succeqq","kmath, kpfonts, pxfonts, txfonts"
"02AB5","","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02AB6","","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02AB7","\precapprox","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02AB8","\succapprox","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02AB9","\precnapprox","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02ABA","\succnapprox","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02ABB","\llcurly","mathabx"
"02ABC","\ggcurly","mathabx"
"02ABD",""," "
"02ABE",""," "
"02ABF",""," "
"02AC0",""," "
"02AC1",""," "
"02AC2",""," "
"02AC3",""," "
"02AC4",""," "
"02AC5","\subseteqq","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02AC6","\supseteqq","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02AC7",""," "
"02AC8",""," "
"02AC9",""," "
"02ACA",""," "
"02ACB","\subsetneqq","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02ACC","\supsetneqq","MnSymbol, amssymb, kmath, kpfonts, mathabx, mathdesign, oz, pxfonts, txfonts"
"02ACD",""," "
"02ACE",""," "
"02ACF",""," "
"02AD0",""," "
"02AD1",""," "
"02AD2",""," "
"02AD3",""," "
"02AD4",""," "
"02AD5",""," "
"02AD6",""," "
"02AD7",""," "
"02AD8",""," "
"02AD9",""," "
"02ADA",""," "
"02ADB",""," "
"02ADC",""," "
"02ADD",""," "
"02ADE",""," "
"02ADF",""," "
"02AE0",""," "
"02AE1",""," "
"02AE2",""," "
"02AE3",""," "
"02AE4",""," "
"02AE5",""," "
"02AE6",""," "
"02AE7",""," "
"02AE8",""," "
"02AE9",""," "
"02AEA","\Top","kmath, kpfonts, pxfonts, txfonts"
"02AEB","\Bot","kmath, kpfonts, pxfonts, txfonts"
"02AEC",""," "
"02AED",""," "
"02AEE",""," "
"02AEF",""," "
"02AF0",""," "
"02AF1",""," "
"02AF2",""," "
"02AF3",""," "
"02AF4","\interleave","stmaryrd"
"02AF5",""," "
"02AF6",""," "
"02AF7",""," "
"02AF8",""," "
"02AF9",""," "
"02AFA",""," "
"02AFB",""," "
"02AFC","\biginterleave","stmaryrd"
"02AFD","\sslash","stmaryrd"
"02AFE","\talloblong","stmaryrd"
"02AFF",""," "
"02B00",""," "
"02B01",""," "
"02B02",""," "
"02B03",""," "
"02B04",""," "
"02B05",""," "
"02B06",""," "
"02B07",""," "
"02B08",""," "
"02B09",""," "
"02B0A",""," "
"02B0B",""," "
"02B0C",""," "
"02B0D",""," "
"02B0E",""," "
"02B0F",""," "
"02B10",""," "
"02B11",""," "
"02B12",""," "
"02B13",""," "
"02B14",""," "
"02B15",""," "
"02B16",""," "
"02B17",""," "
"02B18",""," "
"02B19",""," "
"02B1A",""," "
"02B1B","\blacksquare","fourier, fouriernc, -MnSymbol, -amssymb, -kmath, -kpfonts, -mathdesign, -oz, -pxfonts, -txfonts"
"02B1C","\square","fourier, fouriernc, -MnSymbol, -amssymb, -kmath, -kpfonts, -mathabx, -mathdesign, -oz, -pxfonts, -txfonts"
"02B1D",""," "
"02B1E",""," "
"02B1F",""," "
"02B20",""," "
"02B21",""," "
"02B22",""," "
"02B23",""," "
"02B24",""," "
"02B25",""," "
"02B26",""," "
"02B27",""," "
"02B28",""," "
"02B29",""," "
"02B2A",""," "
"02B2B",""," "
"02B2C",""," "
"02B2D",""," "
"02B2E",""," "
"02B2F",""," "
"02B30",""," "
"02B31",""," "
"02B32",""," "
"02B33",""," "
"02B34",""," "
"02B35",""," "
"02B36",""," "
"02B37",""," "
"02B38",""," "
"02B39",""," "
"02B3A",""," "
"02B3B",""," "
"02B3C",""," "
"02B3D",""," "
"02B3E",""," "
"02B3F",""," "
"02B40",""," "
"02B41",""," "
"02B42",""," "
"02B43",""," "
"02B44",""," "
"02B45",""," "
"02B46",""," "
"02B47",""," "
"02B48",""," "
"02B49",""," "
"02B4A",""," "
"02B4B",""," "
"02B4C",""," "
"02B50",""," "
"02B51",""," "
"02B52",""," "
"02B53",""," "
"02B54",""," "
"03008",""," "
"03009",""," "
"03012",""," "
"03014",""," "
"03015",""," "
"03018",""," "
"03019",""," "
"0301A",""," "
"0301B",""," "
"03030",""," "
"0306E",""," "
"0FB29",""," "
"0FE00",""," "
"0FE61",""," "
"0FE62",""," "
"0FE63",""," "
"0FE64",""," "
"0FE65",""," "
"0FE66",""," "
"0FE68",""," "
"0FF0B",""," "
"0FF1C",""," "
"0FF1D",""," "
"0FF1E",""," "
"0FF3C",""," "
"0FF3E",""," "
"0FF5C",""," "
"0FF5E",""," "
"0FFE2",""," "
"0FFE9",""," "
"0FFEA",""," "
"0FFEB",""," "
"0FFEC",""," "
"1D400","\mathbf{A}","*"
"1D401","\mathbf{B}","*"
"1D402","\mathbf{C}","*"
"1D403","\mathbf{D}","*"
"1D404","\mathbf{E}","*"
"1D405","\mathbf{F}","*"
"1D406","\mathbf{G}","*"
"1D407","\mathbf{H}","*"
"1D408","\mathbf{I}","*"
"1D409","\mathbf{J}","*"
"1D40A","\mathbf{K}","*"
"1D40B","\mathbf{L}","*"
"1D40C","\mathbf{M}","*"
"1D40D","\mathbf{N}","*"
"1D40E","\mathbf{O}","*"
"1D40F","\mathbf{P}","*"
"1D410","\mathbf{Q}","*"
"1D411","\mathbf{R}","*"
"1D412","\mathbf{S}","*"
"1D413","\mathbf{T}","*"
"1D414","\mathbf{U}","*"
"1D415","\mathbf{V}","*"
"1D416","\mathbf{W}","*"
"1D417","\mathbf{X}","*"
"1D418","\mathbf{Y}","*"
"1D419","\mathbf{Z}","*"
"1D41A","\mathbf{a}","*"
"1D41B","\mathbf{b}","*"
"1D41C","\mathbf{c}","*"
"1D41D","\mathbf{d}","*"
"1D41E","\mathbf{e}","*"
"1D41F","\mathbf{f}","*"
"1D420","\mathbf{g}","*"
"1D421","\mathbf{h}","*"
"1D422","\mathbf{i}","*"
"1D423","\mathbf{j}","*"
"1D424","\mathbf{k}","*"
"1D425","\mathbf{l}","*"
"1D426","\mathbf{m}","*"
"1D427","\mathbf{n}","*"
"1D428","\mathbf{o}","*"
"1D429","\mathbf{p}","*"
"1D42A","\mathbf{q}","*"
"1D42B","\mathbf{r}","*"
"1D42C","\mathbf{s}","*"
"1D42D","\mathbf{t}","*"
"1D42E","\mathbf{u}","*"
"1D42F","\mathbf{v}","*"
"1D430","\mathbf{w}","*"
"1D431","\mathbf{x}","*"
"1D432","\mathbf{y}","*"
"1D433","\mathbf{z}","*"
"1D434","A","-frenchstyle"
"1D435","B","-frenchstyle"
"1D436","C","-frenchstyle"
"1D437","D","-frenchstyle"
"1D438","E","-frenchstyle"
"1D439","F","-frenchstyle"
"1D43A","G","-frenchstyle"
"1D43B","H","-frenchstyle"
"1D43C","I","-frenchstyle"
"1D43D","J","-frenchstyle"
"1D43E","K","-frenchstyle"
"1D43F","L","-frenchstyle"
"1D440","M","-frenchstyle"
"1D441","N","-frenchstyle"
"1D442","O","-frenchstyle"
"1D443","P","-frenchstyle"
"1D444","Q","-frenchstyle"
"1D445","R","-frenchstyle"
"1D446","S","-frenchstyle"
"1D447","T","-frenchstyle"
"1D448","U","-frenchstyle"
"1D449","V","-frenchstyle"
"1D44A","W","-frenchstyle"
"1D44B","X","-frenchstyle"
"1D44C","Y","-frenchstyle"
"1D44D","Z","-frenchstyle"
"1D44E","a","-eulervm, -uprightstyle"
"1D44F","b","-eulervm, -uprightstyle"
"1D450","c","-eulervm, -uprightstyle"
"1D451","d","-eulervm, -uprightstyle"
"1D452","e","-eulervm, -uprightstyle"
"1D453","f","-eulervm, -uprightstyle"
"1D454","g","-eulervm, -uprightstyle"
"1D456","i","-eulervm, -uprightstyle"
"1D457","j","-eulervm, -uprightstyle"
"1D458","k","-eulervm, -uprightstyle"
"1D459","l","-eulervm, -uprightstyle"
"1D45A","m","-eulervm, -uprightstyle"
"1D45B","n","-eulervm, -uprightstyle"
"1D45C","o","-eulervm, -uprightstyle"
"1D45D","p","-eulervm, -uprightstyle"
"1D45E","q","-eulervm, -uprightstyle"
"1D45F","r","-eulervm, -uprightstyle"
"1D460","s","-eulervm, -uprightstyle"
"1D461","t","-eulervm, -uprightstyle"
"1D462","u","-eulervm, -uprightstyle"
"1D463","v","-eulervm, -uprightstyle"
"1D464","w","-eulervm, -uprightstyle"
"1D465","x","-eulervm, -uprightstyle"
"1D466","y","-eulervm, -uprightstyle"
"1D467","z","-eulervm, -uprightstyle"
"1D468","\mathbfit{A}","isomath"
"1D469","\mathbfit{B}","isomath"
"1D46A","\mathbfit{C}","isomath"
"1D46B","\mathbfit{D}","isomath"
"1D46C","\mathbfit{E}","isomath"
"1D46D","\mathbfit{F}","isomath"
"1D46E","\mathbfit{G}","isomath"
"1D46F","\mathbfit{H}","isomath"
"1D470","\mathbfit{I}","isomath"
"1D471","\mathbfit{J}","isomath"
"1D472","\mathbfit{K}","isomath"
"1D473","\mathbfit{L}","isomath"
"1D474","\mathbfit{M}","isomath"
"1D475","\mathbfit{N}","isomath"
"1D476","\mathbfit{O}","isomath"
"1D477","\mathbfit{P}","isomath"
"1D478","\mathbfit{Q}","isomath"
"1D479","\mathbfit{R}","isomath"
"1D47A","\mathbfit{S}","isomath"
"1D47B","\mathbfit{T}","isomath"
"1D47C","\mathbfit{U}","isomath"
"1D47D","\mathbfit{V}","isomath"
"1D47E","\mathbfit{W}","isomath"
"1D47F","\mathbfit{X}","isomath"
"1D480","\mathbfit{Y}","isomath"
"1D481","\mathbfit{Z}","isomath"
"1D482","\mathbfit{a}","isomath"
"1D483","\mathbfit{b}","isomath"
"1D484","\mathbfit{c}","isomath"
"1D485","\mathbfit{d}","isomath"
"1D486","\mathbfit{e}","isomath"
"1D487","\mathbfit{f}","isomath"
"1D488","\mathbfit{g}","isomath"
"1D489","\mathbfit{h}","isomath"
"1D48A","\mathbfit{i}","isomath"
"1D48B","\mathbfit{j}","isomath"
"1D48C","\mathbfit{k}","isomath"
"1D48D","\mathbfit{l}","isomath"
"1D48E","\mathbfit{m}","isomath"
"1D48F","\mathbfit{n}","isomath"
"1D490","\mathbfit{o}","isomath"
"1D491","\mathbfit{p}","isomath"
"1D492","\mathbfit{q}","isomath"
"1D493","\mathbfit{r}","isomath"
"1D494","\mathbfit{s}","isomath"
"1D495","\mathbfit{t}","isomath"
"1D496","\mathbfit{u}","isomath"
"1D497","\mathbfit{v}","isomath"
"1D498","\mathbfit{w}","isomath"
"1D499","\mathbfit{x}","isomath"
"1D49A","\mathbfit{y}","isomath"
"1D49B","\mathbfit{z}","isomath"
"1D49C","\mathcal{A}","*"
"1D49E","\mathcal{C}","*"
"1D49F","\mathcal{D}","*"
"1D4A2","\mathcal{G}","*"
"1D4A5","\mathcal{J}","*"
"1D4A6","\mathcal{K}","*"
"1D4A9","\mathcal{N}","*"
"1D4AA","\mathcal{O}","*"
"1D4AB","\mathcal{P}","*"
"1D4AC","\mathcal{Q}","*"
"1D4AE","\mathcal{S}","*"
"1D4AF","\mathcal{T}","*"
"1D4B0","\mathcal{U}","*"
"1D4B1","\mathcal{V}","*"
"1D4B2","\mathcal{W}","*"
"1D4B3","\mathcal{X}","*"
"1D4B4","\mathcal{Y}","*"
"1D4B5","\mathcal{Z}","*"
"1D4B6","\mathcal{a}","urwchancal, wrisym"
"1D4B7","\mathcal{b}","urwchancal, wrisym"
"1D4B8","\mathcal{c}","urwchancal, wrisym"
"1D4B9","\mathcal{d}","urwchancal, wrisym"
"1D4BB","\mathcal{f}","urwchancal, wrisym"
"1D4BD","\mathcal{h}","urwchancal, wrisym"
"1D4BE","\mathcal{i}","urwchancal, wrisym"
"1D4BF","\mathcal{j}","urwchancal, wrisym"
"1D4C0","\mathcal{k}","urwchancal, wrisym"
"1D4C1","\mathcal{l}","urwchancal, wrisym"
"1D4C2","\mathcal{m}","urwchancal, wrisym"
"1D4C3","\mathcal{n}","urwchancal, wrisym"
"1D4C5","\mathcal{p}","urwchancal, wrisym"
"1D4C6","\mathcal{q}","urwchancal, wrisym"
"1D4C7","\mathcal{r}","urwchancal, wrisym"
"1D4C8","\mathcal{s}","urwchancal, wrisym"
"1D4C9","\mathcal{t}","urwchancal, wrisym"
"1D4CA","\mathcal{u}","urwchancal, wrisym"
"1D4CB","\mathcal{v}","urwchancal, wrisym"
"1D4CC","\mathcal{w}","urwchancal, wrisym"
"1D4CD","\mathcal{x}","urwchancal, wrisym"
"1D4CE","\mathcal{y}","urwchancal, wrisym"
"1D4CF","\mathcal{z}","urwchancal, wrisym"
"1D4D0",""," "
"1D4D1",""," "
"1D4D2",""," "
"1D4D3",""," "
"1D4D4",""," "
"1D4D5",""," "
"1D4D6",""," "
"1D4D7",""," "
"1D4D8",""," "
"1D4D9",""," "
"1D4DA",""," "
"1D4DB",""," "
"1D4DC",""," "
"1D4DD",""," "
"1D4DE",""," "
"1D4DF",""," "
"1D4E0",""," "
"1D4E1",""," "
"1D4E2",""," "
"1D4E3",""," "
"1D4E4",""," "
"1D4E5",""," "
"1D4E6",""," "
"1D4E7",""," "
"1D4E8",""," "
"1D4E9",""," "
"1D4EA",""," "
"1D4EB",""," "
"1D4EC",""," "
"1D4ED",""," "
"1D4EE",""," "
"1D4EF",""," "
"1D4F0",""," "
"1D4F1",""," "
"1D4F2",""," "
"1D4F3",""," "
"1D4F4",""," "
"1D4F5",""," "
"1D4F6",""," "
"1D4F7",""," "
"1D4F8",""," "
"1D4F9",""," "
"1D4FA",""," "
"1D4FB",""," "
"1D4FC",""," "
"1D4FD",""," "
"1D4FE",""," "
"1D4FF",""," "
"1D500",""," "
"1D501",""," "
"1D502",""," "
"1D503",""," "
"1D504","\mathfrak{A}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D505","\mathfrak{B}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D507","\mathfrak{D}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D508","\mathfrak{E}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D509","\mathfrak{F}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D50A","\mathfrak{G}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D50D","\mathfrak{J}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D50E","\mathfrak{K}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D50F","\mathfrak{L}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D510","\mathfrak{M}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D511","\mathfrak{N}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D512","\mathfrak{O}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D513","\mathfrak{P}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D514","\mathfrak{Q}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D516","\mathfrak{S}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D517","\mathfrak{T}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D518","\mathfrak{U}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D519","\mathfrak{V}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D51A","\mathfrak{W}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D51B","\mathfrak{X}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D51C","\mathfrak{Y}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D51E","\mathfrak{a}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D51F","\mathfrak{b}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D520","\mathfrak{c}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D521","\mathfrak{d}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D522","\mathfrak{e}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D523","\mathfrak{f}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D524","\mathfrak{g}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D525","\mathfrak{h}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D526","\mathfrak{i}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D527","\mathfrak{j}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D528","\mathfrak{k}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D529","\mathfrak{l}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D52A","\mathfrak{m}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D52B","\mathfrak{n}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D52C","\mathfrak{o}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D52D","\mathfrak{p}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D52E","\mathfrak{q}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D52F","\mathfrak{r}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D530","\mathfrak{s}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D531","\mathfrak{t}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D532","\mathfrak{u}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D533","\mathfrak{v}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D534","\mathfrak{w}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D535","\mathfrak{x}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D536","\mathfrak{y}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D537","\mathfrak{z}","MnSymbol, amsfonts, amssymb, eufrak, kmath, kpfonts, mathdesign, pxfonts, txfonts"
"1D538","\mathbb{A}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D539","\mathbb{B}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D53B","\mathbb{D}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D53C","\mathbb{E}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D53D","\mathbb{F}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D53E","\mathbb{G}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D540","\mathbb{I}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D541","\mathbb{J}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D542","\mathbb{K}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D543","\mathbb{L}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D544","\mathbb{M}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D546","\mathbb{O}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D54A","\mathbb{S}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D54B","\mathbb{T}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D54C","\mathbb{U}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D54D","\mathbb{V}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D54E","\mathbb{W}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D54F","\mathbb{X}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D550","\mathbb{Y}","amsfonts, amssymb, bbold, fourier, fouriernc, kmath, kpfonts, mathbb, mathbbol, mathdesign, mathpazo, oz, pxfonts, txfonts"
"1D552","\mathbb{a}","bbold, mathbbol"
"1D553","\mathbb{b}","bbold, mathbbol"
"1D554","\mathbb{c}","bbold, mathbbol"
"1D555","\mathbb{d}","bbold, mathbbol"
"1D556","\mathbb{e}","bbold, mathbbol"
"1D557","\mathbb{f}","bbold, mathbbol"
"1D558","\mathbb{g}","bbold, mathbbol"
"1D559","\mathbb{h}","bbold, mathbbol"
"1D55A","\mathbb{i}","bbold, mathbbol"
"1D55B","\mathbb{j}","bbold, mathbbol"
"1D55C","\mathbb{k}","bbold, fourier, fouriernc, mathbbol"
"1D55D","\mathbb{l}","bbold, mathbbol"
"1D55E","\mathbb{m}","bbold, mathbbol"
"1D55F","\mathbb{n}","bbold, mathbbol"
"1D560","\mathbb{o}","bbold, mathbbol"
"1D561","\mathbb{p}","bbold, mathbbol"
"1D562","\mathbb{q}","bbold, mathbbol"
"1D563","\mathbb{r}","bbold, mathbbol"
"1D564","\mathbb{s}","bbold, mathbbol"
"1D565","\mathbb{t}","bbold, mathbbol"
"1D566","\mathbb{u}","bbold, mathbbol"
"1D567","\mathbb{v}","bbold, mathbbol"
"1D568","\mathbb{w}","bbold, mathbbol"
"1D569","\mathbb{x}","bbold, mathbbol"
"1D56A","\mathbb{y}","bbold, mathbbol"
"1D56B","\mathbb{z}","bbold, mathbbol"
"1D56C",""," "
"1D56D",""," "
"1D56E",""," "
"1D56F",""," "
"1D570",""," "
"1D571",""," "
"1D572",""," "
"1D573",""," "
"1D574",""," "
"1D575",""," "
"1D576",""," "
"1D577",""," "
"1D578",""," "
"1D579",""," "
"1D57A",""," "
"1D57B",""," "
"1D57C",""," "
"1D57D",""," "
"1D57E",""," "
"1D57F",""," "
"1D580",""," "
"1D581",""," "
"1D582",""," "
"1D583",""," "
"1D584",""," "
"1D585",""," "
"1D586",""," "
"1D587",""," "
"1D588",""," "
"1D589",""," "
"1D58A",""," "
"1D58B",""," "
"1D58C",""," "
"1D58D",""," "
"1D58E",""," "
"1D58F",""," "
"1D590",""," "
"1D591",""," "
"1D592",""," "
"1D593",""," "
"1D594",""," "
"1D595",""," "
"1D596",""," "
"1D597",""," "
"1D598",""," "
"1D599",""," "
"1D59A",""," "
"1D59B",""," "
"1D59C",""," "
"1D59D",""," "
"1D59E",""," "
"1D59F",""," "
"1D5A0","\mathsf{A}","*"
"1D5A1","\mathsf{B}","*"
"1D5A2","\mathsf{C}","*"
"1D5A3","\mathsf{D}","*"
"1D5A4","\mathsf{E}","*"
"1D5A5","\mathsf{F}","*"
